,Unnamed: 0.1,Unnamed: 0,PET,text,label,category,source,bibliography,country,euph_status
0,2050,2050,Hierba medicinal,"La manzanilla, es una [PET_BOUNDARY]Hierba medicinal[PET_BOUNDARY] que se lo utiliza para el dolor de estómago, es también antiinflamatorio.",0,Substances,REA (Corpes Siglo XXI),"Mullo Sandoval, Mario: Historia de Calacalí. Quito: Municipio del Distrito Metropolitano de Quito, 2008.",Ecuador,sometimes_euph
1,425,425,Persona grande,"Para Damián terminaba así la eternidad, los cuarenta años en el desierto, el fin de las pesadillas por las que había vagado todo el día: el abandono, el quedarse solo para siempre, el romance entre Christian y Abigail, el reproche a su familia que rápidamente se transformaba en reproche a él mismo porque en definitiva ya era una [PET_BOUNDARY]Persona grande[PET_BOUNDARY] y sus padres, a pesar del dolor que les había generado, lo habían aceptado. La charla fue cordial y ninguno de los dos hizo alusión al tiempo que estuvieron sin hablar. Christian propuso ir a comer afuera, los dos solos, sin Abigail.",0,Physical/Mental Attributes,REA (Corpes Siglo XXI),"Wainraich, Sebastián: «Un pacto con Dios». Ser feliz me da vergüenza y otros cuentos. Buenos Aires: Sudamericana, 2008",Argentina,sometimes_euph
2,1898,1898,Disturbios civiles,"El nuevo comandante de la institución castrense afirmó que «de manera conjunta con la Policía Boliviana se ejecuta un plan de operaciones para restablecer el orden público en todo el territorio nacional, control de [PET_BOUNDARY]Disturbios civiles[PET_BOUNDARY], seguridad física a instalaciones, arrestos, aprehensiones donde se altere el orden público», detalló.",1,Politics,REA (Corpes Siglo XXI),"«Indígenas bolivianos reclaman el regreso de su hermano Evo». Juventud Rebelde. www.juventudrebelde.cu: https://www.juventudrebelde.cu/internacionales/2019-11-13/indigenas-bolivianos-reclaman-el-regreso-de-su-hermano-evo, 2019-11-13.",Cuba,always_euph
3,1235,1235,Debajo de la mesa,"Pon la sábana sobre una mesa, de manera que llegue hasta el suelo. Muéstrale al bebé cómo puede gatear [PET_BOUNDARY]Debajo de la mesa[PET_BOUNDARY] (quizá tengas que meterte tú debajo de ella y ayudarle, si no se anima a hacerlo).",0,Bodily functions/parts,REA (Corpes Siglo XXI),"Ponce, Àngels: 52 fines de semana con los nietos. Juegos y actividades divertidas para pequeños y mayores. Barcelona: Ediciones Ceac, 2010.",España,sometimes_euph
4,1584,1584,Perder la batalla,"¿Se enfrentó el gobernador a su gobierno y [PET_BOUNDARY]perdió la batalla[PET_BOUNDARY] o se limitó a consentir los faroles por el bien de no se sabe qué ni quién? De hecho, del estado de necesidad en que hoy se encuentran la mayoría del sector financiero, cajas y bancos, prácticamente sólo se libran los que tienen diversificados sus negocios en el exterior.",0,Politics,REA (Corpes Siglo XXI),"Ysart, Federico: «El adiós de Mafo». El Blog de Federico Ysart. www.abcblogs.abc.es/federico-ysart: abcblogs.abc.es/federico-ysart, 2012-05-30.",España,sometimes_euph
5,1477,1477,Armas especiales,"Todos quieren llevar a cabo la revolución, derrocar a Fulgencio Batista, entrar en Santiago de Cuba de manera triunfal, instaurar el nuevo régimen y conseguir los 3.000 puntos para canjearlos por [PET_BOUNDARY]Armas especiales[PET_BOUNDARY] y llevar a cabo los fusilamientos del personal del Gobierno saliente",1,Politics,REA (Corpes Siglo XXI),"Rubio, Enrique: Tania con i®, 56.ª edición. Barcelona: Destino, 2011.",España,sometimes_euph
6,2778,2778,Arreglar,"La situación hoy es tan grave como hace un lustro. Los mayores impuestos y los escasos ahorros se han dirigido a financiar el aumento del gasto militar y los crecientes pagos de pensiones. Ni los insultos a las entidades multilaterales, ni las quejas contra la globalización cambiarán la realidad de que Colombia está al borde de la quiebra y no tiene con qué seguir pagando sus gastos. Colombia tendrá que [PET_BOUNDARY]Arreglar[PET_BOUNDARY] su situación fiscal en algún momento, ojalá pronto, pues el problema crece con el paso del tiempo.",0,Bodily functions/parts,REA (Corpes Siglo XXI),"Montenegro, Armando; Rivas, Rafael: Las piezas del rompecabezas. Desigualdad, pobreza y crecimiento. Bogotá: Taurus, 2005.",Colombia,sometimes_euph
7,219,219,Diferencias creativas,"Le cuento que no lo he visto, que vine porque pensé que aquí ensayaba. Claro, dice. Finalmente le pregunto por qué se pelearon el Grunch y el Pacman. Pues eso que te dije, [PET_BOUNDARY]Diferencias creativas[PET_BOUNDARY]. Le pregunto qué quiere decir con eso. Pues ya sabes, responde, tenemos una onda chida preparada; ya verás, me dice y me echa una mirada de ya verás. Ah, este, no, respondo. Silencio incómodo. Me cambia de tema: ¿qué te parece la casa?",1,Employment/Finances,REA (Corpes Siglo XXI),"Vallejo Novoa, Arturo: No tengo tiempo. México D. F.: Alfaguara, 2009",Mexico,always_euph
8,2253,2253,Lecho de muerte,"Y, ahora, ahora, que estoy en mi [PET_BOUNDARY]Lecho de muerte[PET_BOUNDARY], sigues aquí.",1,Death,REA (Corpes Siglo XXI),"Alemán, Gabriela: «Beautiful but dangerous». La muerte silba un blues. Bogotá: Penguin Random House, 2014.",Ecuador,always_euph
9,25,25,Disminuido,"Otro hombre que aparece es el Jote, marido de la señora Inés. Éste suele emborracharse y en una de sus borracheras rompió el vestido de Marisela, causando así, otro conflicto más. Si bien es padre, no hay alusiones a este rol. Él, sin embargo, sufre por su condición, no ha tenido buenas experiencias en sus trabajos y se siente [PET_BOUNDARY]Disminuido[PET_BOUNDARY] como individuo -sin relacionar esto con su deber en la familia-, él se vino del campo a la capital y se lamenta de haber tomado esa decisión:",1,Physical/Mental Attributes,REA (Corpes Siglo XXI),"Darrigrandi Navarro, Claudia: Dramaturgia y género en el Chile de los sesenta. Santiago de Chile: LOM Ediciones, 2001",Chile,sometimes_euph
