,num,PET,variation,category,orig_text,clean_text,char_count,word_count,text,label,euph_status
689,690,naaş,naaşı,death,"Diyarbakır'ın Sur ilçesindeki operasyonda şehit olan Jandarma Uzman Çavuş Yaşar Yeniören'in, Türk bayrağına sarılı naaşı, Diyarbakır Asker Hastanesi bahçesindeki katafalka konuldu, öz geçmişi okundu ve dua edildi. Bu sırada fenalaşan şehidin eşi Duygu ve annesi Nuray Yeniören'e sağlık ekipleri müdahale etti. Törenin ardından Yeniören'in cenazesi, toprağa verilmek üzere İstanbul'a uğurlandı.","diyarbakır'ın sur ilçesindeki operasyonda şehit olan jandarma uzman çavuş yaşar yeniören'in, türk bayrağına sarılı naaşı, diyarbakır asker hastanesi bahçesindeki katafalka konuldu, öz geçmişi okundu ve dua edildi. bu sırada fenalaşan şehidin eşi duygu ve annesi nuray yeniören'e sağlık ekipleri müdahale etti. törenin ardından yeniören'in cenazesi, toprağa verilmek üzere i̇stanbul'a uğurlandı.",394,50,"Diyarbakır'ın Sur ilçesindeki operasyonda şehit olan Jandarma Uzman Çavuş Yaşar Yeniören'in, Türk bayrağına sarılı [PET_BOUNDARY]naaşı[PET_BOUNDARY], Diyarbakır Asker Hastanesi bahçesindeki katafalka konuldu, öz geçmişi okundu ve dua edildi. Bu sırada fenalaşan şehidin eşi Duygu ve annesi Nuray Yeniören'e sağlık ekipleri müdahale etti. Törenin ardından Yeniören'in cenazesi, toprağa verilmek üzere İstanbul'a uğurlandı.",1,always_euph
127,128,birlikte olmak,birlikte oluşabilecek,sexual activity,"Apple'ın yeni akıllı telefonu iPhone 6 için geri sayım devam ediyor. Teknoloji devi Apple'ın 9 Eylül günü tanıtacağı iPhone 6 ile birlikte aynı gün işletim sistemi iOS 8 de kullanıcıların beğenisine sunulacak. Ancak yeni iOS, iPhone 4 kullanıcıları için kullanıma sunulmayacak. Bu arada Apple'ın iOS 8 ile birlikte oluşabilecek sorunlar için iOS 8.0.1 güncellemesini şimdiden hazırladığı gelen söylentiler arasında.","apple'ın yeni akıllı telefonu iphone 6 için geri sayım devam ediyor. teknoloji devi apple'ın 9 eylül günü tanıtacağı iphone 6 ile birlikte aynı gün işletim sistemi ios 8 de kullanıcıların beğenisine sunulacak. ancak yeni ios, iphone 4 kullanıcıları için kullanıma sunulmayacak. bu arada apple'ın ios 8 ile birlikte oluşabilecek sorunlar için ios 8.0.1 güncellemesini şimdiden hazırladığı gelen söylentiler arasında.",415,59,"Apple'ın yeni akıllı telefonu iPhone 6 için geri sayım devam ediyor. Teknoloji devi Apple'ın 9 Eylül günü tanıtacağı iPhone 6 ile birlikte aynı gün işletim sistemi iOS 8 de kullanıcıların beğenisine sunulacak. Ancak yeni iOS, iPhone 4 kullanıcıları için kullanıma sunulmayacak. Bu arada Apple'ın iOS 8 ile [PET_BOUNDARY]birlikte oluşabilecek[PET_BOUNDARY] sorunlar için iOS 8.0.1 güncellemesini şimdiden hazırladığı gelen söylentiler arasında.",0,sometimes_euph
2155,2156,sıkışmak,sıkıştım,bodily functions,"altında çıktığımı çok iyi hatırlıyorum. Hal böyleyken... Dün, sınavda bir öğrenci kulağıma eğilerek, ""Hocam çok sıkıştım ... "" dediğinde, yüreğimin paramparça olduğunu hissettim. Zira elimden bir şey gelmezdi. Buna rağmen yine de her",altında çıktığımı çok iyi hatırlıyorum hal böyleyken dün sınavda bir öğrenci kulağıma eğilerek hocam çok sıkıştım   dediğinde yüreğimin paramparça olduğunu hissettim zira elimden bir şey gelmezdi buna rağmen yine de her,233,33,"altında çıktığımı çok iyi hatırlıyorum. Hal böyleyken... Dün, sınavda bir öğrenci kulağıma eğilerek, ""Hocam çok [PET_BOUNDARY]sıkıştım[PET_BOUNDARY]... "" dediğinde, yüreğimin paramparça olduğunu hissettim. Zira elimden bir şey gelmezdi. Buna rağmen yine de her",1,sometimes_euph
329,330,göğüs,göğüs,physical/mental attributes,"Merkez Karatay ilçesi Emirgazi Mahallesi Ahmet Hamdi Göğüs Caddesi'nde, çocuklar arasında tartışma çıktı. Ailelerin de müdahalesiyle kavgaya dönüşen olayda Recep Esen (22) bacağından, Selim Esen (26) ise elinden bıçakla yaralandı. Yakup Esen (45) de darp edildi. Yaralılar, Konya Eğitim ve Araştırma Hastanesinde tedavi altına alındı. Olay yerine gelen polis yaşanan gerginliği sona erdirmek için yoğun çaba harcadı. Başlatılan soruşturma sürüyor.","merkez karatay ilçesi emirgazi mahallesi ahmet hamdi göğüs caddesi'nde, çocuklar arasında tartışma çıktı. ailelerin de müdahalesiyle kavgaya dönüşen olayda recep esen (22) bacağından, selim esen (26) ise elinden bıçakla yaralandı. yakup esen (45) de darp edildi. yaralılar, konya eğitim ve araştırma hastanesinde tedavi altına alındı. olay yerine gelen polis yaşanan gerginliği sona erdirmek için yoğun çaba harcadı. başlatılan soruşturma sürüyor.",447,60,"Merkez Karatay ilçesi Emirgazi Mahallesi Ahmet Hamdi [PET_BOUNDARY]Göğüs[PET_BOUNDARY] Caddesi'nde, çocuklar arasında tartışma çıktı. Ailelerin de müdahalesiyle kavgaya dönüşen olayda Recep Esen (22) bacağından, Selim Esen (26) ise elinden bıçakla yaralandı. Yakup Esen (45) de darp edildi. Yaralılar, Konya Eğitim ve Araştırma Hastanesinde tedavi altına alındı. Olay yerine gelen polis yaşanan gerginliği sona erdirmek için yoğun çaba harcadı. Başlatılan soruşturma sürüyor.",0,sometimes_euph
1910,1911,hayat kadını,Hayat kadınlarıyla,sexual activity,aramızda adeta bir köprü oluşturabilir. Sınırsız eğlencelere hitap ettiğimden dolayı farklılıklar öne çıkıyor. Hayat kadınlarıyla görüşmek isteyenlerin yegane seçimleri lüks oteller oluyor. Fakat otellerin böyle bir hizmeti yok. Kendiniz,aramızda adeta bir köprü oluşturabilir sınırsız eğlencelere hitap ettiğimden dolayı farklılıklar öne çıkıyor hayat kadınlarıyla görüşmek isteyenlerin yegane seçimleri lüks oteller oluyor fakat otellerin böyle bir hizmeti yok kendiniz,237,29,aramızda adeta bir köprü oluşturabilir. Sınırsız eğlencelere hitap ettiğimden dolayı farklılıklar öne çıkıyor. [PET_BOUNDARY]Hayat kadınlarıyla[PET_BOUNDARY] görüşmek isteyenlerin yegane seçimleri lüks oteller oluyor. Fakat otellerin böyle bir hizmeti yok. Kendiniz,1,always_euph
242,243,ekonomik,ekonomik,employment/finances,"""Uzun Yürüyüş-2D"" taşıyıcı roketiyle yörüngeye yollanan uydunun, başta bilimsel araştırmalar olmak üzere, toprak kaynaklarının tespiti ve haritalandırma gibi alanlarda bilgi sağlama amaçlı kullanılacağı ifade edildi. Uydudan sağlanması planlanan verilerin, Çin'in bilim araştırmaları ve ekonomik yapılanması adına etkin rol oynayacağı belirtildi.","""uzun yürüyüş-2d"" taşıyıcı roketiyle yörüngeye yollanan uydunun, başta bilimsel araştırmalar olmak üzere, toprak kaynaklarının tespiti ve haritalandırma gibi alanlarda bilgi sağlama amaçlı kullanılacağı ifade edildi. uydudan sağlanması planlanan verilerin, çin'in bilim araştırmaları ve ekonomik yapılanması adına etkin rol oynayacağı belirtildi.",346,40,"""Uzun Yürüyüş - 2D"" taşıyıcı roketiyle yörüngeye yollanan uydunun, başta bilimsel araştırmalar olmak üzere, toprak kaynaklarının tespiti ve haritalandırma gibi alanlarda bilgi sağlama amaçlı kullanılacağı ifade edildi. Uydudan sağlanması planlanan verilerin, Çin'in bilim araştırmaları ve [PET_BOUNDARY]ekonomik[PET_BOUNDARY] yapılanması adına etkin rol oynayacağı belirtildi.",0,sometimes_euph
1315,1316,iki canlı,iki canlı,bodily functions,"ise aksine ısrar etmeyişim bugün hayıflandığım şeyler arasında. Bu satırları okuyan baba adayları! Sakın ola eşim iki canlı , daha çok yesin, hatta ne isterse yesin yanlışına düşmeyin. Sakın kısa mesafeleri ama yorulmasın diye yürümemezlik",ise aksine ısrar etmeyişim bugün hayıflandığım şeyler arasında bu satırları okuyan baba adayları sakın ola eşim iki canlı  daha çok yesin hatta ne isterse yesin yanlışına düşmeyin sakın kısa mesafeleri ama yorulmasın diye yürümemezlik,239,35,"ise aksine ısrar etmeyişim bugün hayıflandığım şeyler arasında. Bu satırları okuyan baba adayları! Sakın ola eşim [PET_BOUNDARY]iki canlı[PET_BOUNDARY] , daha çok yesin, hatta ne isterse yesin yanlışına düşmeyin. Sakın kısa mesafeleri ama yorulmasın diye yürümemezlik",1,sometimes_euph
2247,2248,ekonomik,ekonomik,employment/finances,"katkı maddesi içermez. Maybi'nin buluşu olan Milkylac, süt tozunu sadece aroma ve tat için kullanan müşterilerimize ekonomik alternatif olarak sunduğumuz peynir altı suyundan üretilen özel bir ürünümüzdür. Trakya'nın pastörize edilmiş",katkı maddesi içermez maybinin buluşu olan milkylac süt tozunu sadece aroma ve tat için kullanan müşterilerimize ekonomik alternatif olarak sunduğumuz peynir altı suyundan üretilen özel bir ürünümüzdür trakyanın pastörize edilmiş,234,30,"katkı maddesi içermez. Maybi'nin buluşu olan Milkylac, süt tozunu sadece aroma ve tat için kullanan müşterilerimize [PET_BOUNDARY]ekonomik[PET_BOUNDARY] alternatif olarak sunduğumuz peynir altı suyundan üretilen özel bir ürünümüzdür. Trakya'nın pastörize edilmiş",1,sometimes_euph
1797,1798,üç harfli,üç harfli,misc.,"iyi bir dosya planını gerektirir. Bu sistemde her evraka, dosya kodu ve numarası yazılır. Dosya kodu genelde üç harfli hatırlatıcı nitelikte kısaltmalardır. 16 Konu adlarına göre dosyalama sisteminde iki ayrı yöntem kullanılabilir.",iyi bir dosya planını gerektirir bu sistemde her evraka dosya kodu ve numarası yazılır dosya kodu genelde üç harfli hatırlatıcı nitelikte kısaltmalardır  konu adlarına göre dosyalama sisteminde iki ayrı yöntem kullanılabilir,231,32,"iyi bir dosya planını gerektirir. Bu sistemde her evraka, dosya kodu ve numarası yazılır. Dosya kodu genelde [PET_BOUNDARY]üç harfli[PET_BOUNDARY] hatırlatıcı nitelikte kısaltmalardır. 16 Konu adlarına göre dosyalama sisteminde iki ayrı yöntem kullanılabilir.",0,sometimes_euph
389,390,hakkın rahmetine kavuşmak,hakkın rahmetine kavuşmuştur,death,"""Not : Taziye için  oğlu Mehmet Hilmi Akyüz , Ev : ( 364 ) 227 21  85 İş : ( 364 ) 224 32 45 Cep : 0  532 614 7891 e - mail : mhacorum@hotmail.com Mahmut Özdoğan : Kuduzlar  köyünden Omer Özdoğan ile SalihaÖzdoğan'ın oğlu Mahmut Özdoğan 11 Nisan 2004 tarihinde  hakkın rahmetine kavuşmuştur Allah ( CC ) rahmet eylesin hem merhum hemde  kardeşleri Çorum'da herkesin yardımına koşan , bol bol hayırlarda bulunan iyilik sever  insanlardır .""","""not taziye için  oğlu mehmet hilmi akyüz ev      i̇ş     cep      e mail mhacorum@hotmail.com mahmutzdoğan kuduzlar  köyünden omerzdoğan ile salihaözdoğan'ın oğlu mahmutzdoğan  nisan  tarihinde  hakkın rahmetine kavuşmuştur allah cc rahmet eylesin hem merhum hemde  kardeşleriorum'da herkesin yardımına koşan bol bol hayırlarda bulunan iyilik sever  insanlardır",362,44,"""Not: Taziye için  oğlu Mehmet Hilmi Akyüz, Ev: (364) 227 21  85 İş: (364) 224 32 45 Cep: 0  532 614 7891 e - mail: mhacorum@hotmail.com Mahmut Özdoğan: Kuduzlar  köyünden Omer Özdoğan ile SalihaÖzdoğan'ın oğlu Mahmut Özdoğan 11 Nisan 2004 tarihinde  [PET_BOUNDARY]hakkın rahmetine kavuşmuştur[PET_BOUNDARY] Allah (CC) rahmet eylesin hem merhum hemde  kardeşleri Çorum'da herkesin yardımına koşan, bol bol hayırlarda bulunan iyilik sever  insanlardır.""",1,always_euph
