,Unnamed: 0.1,Unnamed: 0,PET,text,label,category,source,bibliography,country,euph_status
0,1454,1454,Comida rápida,"Una estrategia perfecta. En estos lugares el niño es el rey, nos agachamos para que él sienta confianza en nosotros, tratamos de hablarles a su nivel, para que se sientan bien. La idea es tratar bien al niño, porque ellos son los que llevan a sus padres, les dicen dónde quieren ir y qué comer y si los atendemos bien, pronto van a pedir regresar, afirmó un empleado de una de las transnacionales más importantes de [PET_BOUNDARY]Comida rápida[PET_BOUNDARY] del país.",1,Politics,REA (Corpes Siglo XXI),"«Carolina Linares de Sierra». La Prensa Gráfica. San Salvador: Grupo Dutriz, 2003-11-20",El Salvador,always_euph
1,861,861,Diferencias étnicas,"No obstante, dentro de sus limitaciones, esta entidad tendría que intentar buscar mecanismos para mejorar tanto la eficiencia en el uso de los recursos, como la calidad de la atención. Este último aspecto requiere, en muchos sentidos, más sensibilidad ante las necesidades de la población y sus [PET_BOUNDARY]Diferencias étnicas[PET_BOUNDARY] y culturales, que movilización de recursos.",1,Politics,REA (Corpes Siglo XXI),"Nigenda, Gustavo [et al.]: Descentralización y programas de salud reproductiva. México, D.F.: Fundación Mexicana para la Salud, 2002",Mexico,always_euph
2,2145,2145,Residuos industriales,"El alcalde socialista del municipio, Carles Baiget, asegura que la empresa tiene la obligación de trasladar los [PET_BOUNDARY]Residuos industriales[PET_BOUNDARY] a un depósito controlado por ser altamente contaminantes.",1,Politics,REA (Corpes Siglo XXI),"Lobato, Pere: «El PSC reclama de la Generalitat la clausura de una empresa de baterías». El País. Madrid: elpais.com, 2003-04-20.",España,always_euph
3,2548,2548,Ventana de oportunidad,"- En el mundo de los negocios no se debe dogmatizar ni ideologizar demasiado. Siempre hay ventanas de oportunidad. Hoy por hoy hay una magnífica oportunidad para Bolivia de convertirse en un actor importantísimo de suministro de gas vía gasoductos en el Cono Sur. Hay una  [PET_BOUNDARY]Ventana de oportunidad[PET_BOUNDARY] para montar un proyecto de exportación de LNG, pensando en el territorio de Estados Unidos o México. Pero las decisiones tienen que tomarse. Lo que no puede hacer Bolivia es hacer que la discusión sea interminable porque siempre hay una tendencia natural de los pueblos en pensar que somos el ombligo del mundo y que el mundo gira en torno a nosotros y eso no es así. Las oportunidades se presentan y hay que aprovecharlas, y si no se lo hace, habrá otros que se aprovecharán. Eso debe pasar en Bolivia, es decir, no seguir dándole largas al asunto sin tomar ninguna decisión si quieren convertirse en actores importantes de la producción.",1,Politics,REA (Corpes Siglo XXI),"López Rodríguez, Gonzalo: «Ex presidente de la OPEP y de PDVSA: ""Bolivia tiene un torneo de demagogia""». Eldeber.com.bo. Santa Cruz de la Sierra: eldeber.com.bo, 2005-05-22.",Bolivia,sometimes_euph
4,2508,2508,Estrategia de salida,"-Que los recortes del gasto público frenan el desarrollo económico. El día 14 de junio de 2010, el presidente del Partido Socialista Europeo, el danés Paul Ramussen, expresó al diario El País la siguiente opinión sobre la política económica aplicada por la canciller Angela Merkel en Alemania. ""Lo que Angela Merkel está promoviendo es matar el crecimiento. Todas las pequeñas flores que están apareciendo en el camino del crecimiento están siendo agostadas por esta política de recortes. Nosotros tenemos una [PET_BOUNDARY]Estrategia de salida[PET_BOUNDARY] de la crisis distinta, que implica un equilibrio entre la consolidación presupuestaria, por una parte, y el empleo y el crecimiento por otra"".",1,Politics,REA (Corpes Siglo XXI),"Schwartz, Pedro: La economía explicada a Zapatero y a sus sucesores. En dos tardes. Madrid: Espasa, 2011.",España,sometimes_euph
5,2055,2055,Medidas de austeridad,"El gobierno mexicano se prepara para una serie de [PET_BOUNDARY]Medidas de austeridad[PET_BOUNDARY] destinadas a evitar una caída de los ingresos públicos, producto de la menor cantidad de exportaciones de petróleo y de una desaceleración económica más aguda que la que se esperaba.",1,Politics,REA (Corpes Siglo XXI),"«Ajuste en México por US$ 3.200 millones». Clarín. Buenos Aires: clarin.com, 2001-05-08.",Argentina,always_euph
6,2428,2428,Cambio de residencia,"La Fiscalía Decimoquinta del Circuito de Panamá ordenó la indagatoria del notario décimo del circuito de Panamá, Carlos Strah Castrellón; y además, le dictó medida cautelar de país por cárcel, presentarse a ese despacho los días 15 y 30 de cada mes, y comunicar el [PET_BOUNDARY]Cambio de residencia[PET_BOUNDARY] a la fiscalía. La medida alcanza a María Aguilar Ríos, funcionaria de la notaría, a Manuel González Purón y a Hazeng Palis Tomy, todos acusados del delito contra la fe pública. La denuncia fue presentada por el abogado Moisés Bartlett representando a Kevin Lawrie Woodruff.",0,Politics,REA (Corpes Siglo XXI),"Somarriba Hernández, José: «VÍA RÁPIDA. País por cárcel para notario décimo». Prensa.com. Panamá: prensa.com, 2006-08-10.",Panama,sometimes_euph
7,211,211,Desaparición forzada,"Los planes represivos lograron su objetivo. La cultura del miedo ha persistido con la impunidad. Hoy todavía se busca la indeferencia de la población por los asuntos políticos. Varias estrategias, como la [PET_BOUNDARY]Desaparición forzada[PET_BOUNDARY], fueron utilizadas por el sector poderoso del país para callar nuestras bocas y para obligarnos a inclinar la cabeza.",1,Politics,REA (Corpes Siglo XXI),"Marroquín, Ricardo: «¿Dónde están?». La Hora. Guatemala: 2007-06-21",Guatemala,always_euph
8,1703,1703,Consumar el matrimonio,"Tuvieron un corto noviazgo y se casaron. La noche de bodas Hugo no pudo cumplir con su papel de marido. Se sintió tan turbado ante el cuerpo desnudo de ella: el pubis con pelitos rubios, casi lampiño, la piel de nácar y la mansedumbre con que aceptaba todo de él como una ovejita, le desinfló las ganas o la posibilidad. Era tan diferente de todas las mujeres que había conocido, nunca vio un cuerpo tan inocente. Solo pudieron [PET_BOUNDARY]Consumar el matrimonio[PET_BOUNDARY] al final de la luna de miel. El resultado fue una niña a los nueve meses de casados. El embarazo la volvió un poco más terrenal a los ojos de su marido, que se hinchaba de vanidad y orgullo; su masculinidad estaba demostrada en la barriga de su mujer.",1,Sexual Activity,REA (Corpes Siglo XXI),"Barreto, Chiquita: «La noche del bautizo». Ese extraño que me habita.Asunción: Arandurã, 2002",Paraguay,always_euph
9,42,42,Desocupado,"Dice mi mujer que vivo en el pasado, que me alimento de sueños, como esos viejos desocupados que van a jugar al dominó en nuestra sede social y asisten a las conferencias o a los recitales poéticos que organiza Godino. Le contesto que más o menos eso mismo soy yo, casi un [PET_BOUNDARY]Desocupado[PET_BOUNDARY], un parado de larga duración, como dicen ahora, por mucho que me empeñe en emprender negocios que no llegan a nada, en aceptar trabajos casi siempre fugaces, y muchas veces ilusorios y hasta fraudulentos.",1,Employment/Finances,REA (Corpes Siglo XXI),"Muñoz Molina, Antonio: Sefarad. Una novela de novelas. Madrid: Alfaguara, 2001",España,sometimes_euph
