,Unnamed: 0,PET,literal translation,euphemistic meanings,category,label,text,source,contains_boundary_tokens,euph_status
205,205,iho,hole,vagina,Bodily Functions/Parts,0,"awa ki o ṣe bi ọ̀rọ rẹ̀ bi? bi kò ba si tọ bẹ̃, iwọ wi. 7 Huṣai si wi fun Absalomu pe, Imọ̀ ti Ahitofeli gbà nì, ko dara nisisiyi. 8 Huṣai si wipe, Iwọ mọ̀ baba rẹ ati awọn ọmọkunrin rẹ̀ pe alagbara ni nwọn, nwọn si wà ni kikoro ọkàn bi amọ̀tẹkun ti a gbà li ọmọ ni igbẹ: baba rẹ si jẹ jagunjagun ọkunrin, kì yio ba awọn enia na gbe pọ̀ li oru. 9 Kiyesi i o ti fi [PET_BOUNDARY]iho[PET_BOUNDARY] a rẹ̀ pamọ nisisiyi ni iho kan, tabi ni ibomiran: yio si ṣe, nigbati diẹ ninu wọn ba kọ ṣubu, ẹnikẹni ti o ba gbọ́ yio si wipe, Iparun si mbẹ ninu awọn enia ti ntọ̀ Absalomu lẹhin. 10 Ẹniti o si ṣe alagbara, ti ọkàn rẹ̀ si dabi ọkàn kiniun, yio si rẹ̀ ẹ: nitori gbogbo Israeli ti mọ̀ pe alagbara ni baba rẹ, ati pe, awọn ti mbẹ lọdọ rẹ̀ jẹ alagbara. 11 Nitorina emi damọ̀ran pe, Ki gbogbo Israeli wọjọ pọ̀ sọ̀dọ rẹ, lati Dani titi dé Beerṣeba,",http://gospelgo.com/f/yoruba_bible.htm,1,sometimes_euph
2040,2040,Alejo,visitor,menstruation,bodily function,0,"Awọn eroja yii si ni wọn fi asọ fẹlifẹti alawọ buluu we, ti Bobrisky si ni ẹnikẹni to ba ri apoti naa gba, ni o j [PET_BOUNDARY]Alejo[PET_BOUNDARY] jo pataki oun.",https://www.bbc.com/yoruba/afrika-58283021,1,sometimes_euph
2378,2378,Igbadun,enjoyment,sex,Sexual Activity,1,Iwadii ijinlẹ tuntun yii wa faaye gba afikun imọ ijinlẹ nipa ibalopọ laarin awọn Ejo eyi ti o le mẹnu ba [PET_BOUNDARY]Igbadun[PET_BOUNDARY] ibalopọ fun abo Ejo.,https://www.bbc.com/yoruba/articles/cd1g9zwe0npo,1,sometimes_euph
2597,2597,Papoda,changed position,death,Death,1,"Lati bii ọsẹ kan sẹyin ni awọn kan ti n pin iroyin kan loju opo atẹjiṣẹ WhatsApp eyi ti wọn pe ni alakalẹ eto isinku gomina ipinlẹ Ondo to [PET_BOUNDARY]Papoda[PET_BOUNDARY] , Oluwarotimi Akeredolu.",https://www.bbc.com/yoruba/,1,always_euph
1496,1496,oni ise ale,night worker,prostitute,Sexual Activity,0,"Mo [PET_BOUNDARY]sise ale[PET_BOUNDARY] ni ile iwosan, noosi ni mi",,1,sometimes_euph
1131,1131,ìbálòpọ̀,relate with,sex,Sexual Activity,1,[PET_BOUNDARY]ìbálòpọ̀[PET_BOUNDARY] Okunrin si Okunrin yii je nkan to lewu pupo gege bi “se” Gbogbo iwe ijoba ati adani gbodo ko awon akeko won lati lodi si iwa yi.,http://yorubadide.blogspot.com.br/,1,sometimes_euph
969,969,jáde láyé,left the earth,death,Death,1,Omojola [PET_BOUNDARY]jáde láyé[PET_BOUNDARY] leyin to kopa ninu eto ipade apero l''Akure,http://www.alaroyeonline.com/searchi.php,1,always_euph
1088,1088,do,punch or touch,sex,Sexual Activity,1,"A [PET_BOUNDARY]do[PET_BOUNDARY] ni l’aya o f’oju re woni, ale oni k’omo ma ku, orii baba omo ni o sun",Postproverbial Constructions and Selected Sex-Related Yoruba Proverbs/ Proverbial Expressions,1,sometimes_euph
2282,2282,Mu,drink,sex,Sexual Activity,1,Jọwọ mo lero bi mi [PET_BOUNDARY]Mu[PET_BOUNDARY] obo eyikeyi iyaafin tabi obinrin ti o mọ ni ibadan?,,1,sometimes_euph
2409,2409,Ere,play,sex,Sexual Activity,0,"O sọ pe ""lati ke [PET_BOUNDARY]Ere[PET_BOUNDARY] e la ti n gburo Dambe tori o jẹ ọkan lara awọn ere idaraya ibilẹ taa ni""",https://www.bbc.com/yoruba/articles/cx0jq2q5ello,1,sometimes_euph
